Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.804425	2.72475	2.079675	0.5671334239	0.4328665761	0.0910878053	0.1393518928	0.1474484202	0.0283309605	0.0283309605
80	1	1	1	4.6999142367	3.7742281304	0.9256861063	0.8030419153	0.1969580847	0.1130441274	0.1243352029	0.0978012702	0.0197704276	0.0197704276
80	1	1	2	4.9505395683	1.2574940048	3.6930455635	0.2540115047	0.7459884953	0.094130382	0.1151070844	0.124302926	0.0220808951	0.0220808951
80	1	2	0	4.7212	2.790625	1.930575	0.5910838346	0.4089161654	0.0749897208	0.1220657286	0.1039172001	0.0224176611	0.0224176611
80	1	2	1	4.7670191383	3.8678231233	0.899196015	0.8113714275	0.1886285725	0.086882635	0.0926347245	0.0596433025	0.0122021445	0.0122021445
80	1	2	2	4.6599275447	1.3501227066	3.3098048381	0.2897304075	0.7102695925	0.0920249419	0.1077346934	0.0964830528	0.0204058777	0.0204058777
80	2	1	0	4.846975	3.421175	1.4258	0.7058371458	0.2941628542	0.0949327483	0.1706490981	0.1364353984	0.0289211209	0.0289211209
80	2	1	1	4.9111297498	4.2714608708	0.639668879	0.8697511751	0.1302488249	0.1013908607	0.1329074174	0.0734836338	0.0156100818	0.0156100818
80	2	1	2	4.7071076483	1.5674193035	3.1396883447	0.3329898997	0.6670101003	0.1474676741	0.1712090212	0.1745812684	0.033204005	0.033204005
80	2	2	0	4.83915	3.172625	1.666525	0.6556161723	0.3443838277	0.0861300221	0.1432314684	0.1249136958	0.0258156512	0.0258156512
80	2	2	1	4.8969734151	4.1705521472	0.7264212679	0.8516591359	0.1483408641	0.1074723799	0.1209149383	0.088353464	0.01747206	0.01747206
80	2	2	2	4.7482315113	1.6035369775	3.1446945338	0.337712467	0.662287533	0.0996788112	0.1272804443	0.1350783227	0.0254178584	0.0254178584
