Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
92	1	1	0	3.11035	2.0551	1.05525	0.6607294999	0.3392705001	0.066167093	0.0926548223	0.0828889323	0.0262952947	0.0262952947
92	1	1	1	3.1953053435	2.8550763359	0.3402290076	0.8935222237	0.1064777763	0.0805725602	0.0809576776	0.0433635991	0.0134071787	0.0134071787
92	1	1	2	2.949057971	0.5363043478	2.4127536232	0.1818561565	0.8181438435	0.1078493108	0.0624191891	0.0973336107	0.0194065126	0.0194065126
92	1	2	0	3.14305	2.18625	0.9568	0.6955823165	0.3044176835	0.1034532029	0.1343312659	0.1191439465	0.0371635791	0.0371635791
92	1	2	1	3.2859543536	2.957206503	0.3287478506	0.8999536162	0.1000463838	0.1263934613	0.1186399328	0.0661631431	0.0195090796	0.0195090796
92	1	2	2	2.8893283375	0.8174437968	2.0718845407	0.2829182777	0.7170817223	0.1514570334	0.1103423881	0.1369738679	0.033350087	0.033350087
92	2	1	0	3.460925	2.2147	1.246225	0.6399156295	0.3600843705	0.0792407689	0.0909024689	0.0818265668	0.0223175813	0.0223175813
92	2	1	1	3.505510711	3.0488978578	0.4566128532	0.869744271	0.130255729	0.0824027536	0.0729054019	0.0429467447	0.0113342633	0.0113342633
92	2	1	2	3.3801995503	0.7043282743	2.675871276	0.2083688445	0.7916311555	0.1118223789	0.0733022274	0.0972973851	0.0193963014	0.0193963014
92	2	2	0	3.337825	2.3483	0.989525	0.7035419772	0.2964580228	0.0905904381	0.1182564103	0.1112473252	0.032355704	0.032355704
92	2	2	1	3.4374564864	3.1494933086	0.2879631778	0.9162278333	0.0837721667	0.0977248469	0.0924224779	0.0469933261	0.0133760493	0.0133760493
92	2	2	2	3.1557330694	0.8839954758	2.2717375937	0.2801236531	0.7198763469	0.1541992371	0.1077569809	0.1398320053	0.0301676298	0.0301676298
