Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.2213	3.10194	2.11936	0.594093425	0.405906575	0.0640443615	0.1188154365	0.1100472378	0.0209418359	0.0209418359
74	1	1	1	5.2454904454	4.2247916736	1.0206987718	0.8054140442	0.1945859558	0.0776265782	0.0950473285	0.0737773668	0.0137805564	0.0137805564
74	1	1	2	5.1853720364	1.4342661166	3.7511059198	0.276598498	0.723401502	0.0828802399	0.099813251	0.1068643996	0.0182534654	0.0182534654
74	1	2	0	5.328895	2.83862	2.490275	0.5326845434	0.4673154566	0.0495727804	0.0992495634	0.0953377118	0.0175930229	0.0175930229
74	1	2	1	5.3813695332	4.1101759682	1.271193565	0.7637788007	0.2362211993	0.0593194018	0.0819738533	0.0710723979	0.0128816614	0.0128816614
74	1	2	2	5.2712700111	1.4422588699	3.8290111412	0.2736074735	0.7263925265	0.0646324893	0.0816252995	0.0869400659	0.0146972582	0.0146972582
74	2	1	0	5.28028	3.603875	1.676405	0.6825158893	0.3174841107	0.0597092384	0.1190083749	0.1122400011	0.0210379354	0.0210379354
74	2	1	1	5.3416757169	4.6090075049	0.732668212	0.8628392567	0.1371607433	0.0707050137	0.0976111415	0.0732198406	0.0137039602	0.0137039602
74	2	1	2	5.1814028768	1.985120213	3.1962826637	0.3831240805	0.6168759195	0.0901291003	0.1237019281	0.1211246626	0.0221875387	0.0221875387
74	2	2	0	5.369905	3.05595	2.313955	0.56908828	0.43091172	0.0643702024	0.1378414273	0.1376463533	0.0249120132	0.0249120132
74	2	2	1	5.4376868498	4.4530832702	0.9846035795	0.8189297018	0.1810702982	0.0682803922	0.1078830372	0.0917628114	0.0167038215	0.0167038215
74	2	2	2	5.3016497411	1.6490587244	3.6525910167	0.3110463356	0.6889536644	0.0915255167	0.1135953294	0.125034049	0.0205891292	0.0205891292
