Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
98	1	1	0	1.89985	1.251975	0.647875	0.6589862358	0.3410137642	0.0752372413	0.1114833468	0.1197635782	0.0578719014	0.0578719014
98	1	1	1	1.8802118048	1.7520180701	0.1281937347	0.9318195246	0.0681804754	0.08991422	0.0869550968	0.0482136447	0.0244364213	0.0244364213
98	1	1	2	1.9406649223	0.2127135601	1.7279513622	0.1096085974	0.8903914026	0.1182299656	0.0592504767	0.1165780677	0.0287421048	0.0287421048
98	1	2	0	1.754	1.284175	0.469825	0.732140821	0.267859179	0.0800661156	0.1259638856	0.1232129216	0.0677690962	0.0677690962
98	1	2	1	1.7548185747	1.6587900405	0.0960285342	0.9452772295	0.0547227705	0.0841371535	0.0796569799	0.0369940946	0.020330449	0.020330449
98	1	2	2	1.7517985612	0.2767017156	1.4750968456	0.15795293	0.84204707	0.1332204927	0.0833973518	0.1357241214	0.0446925944	0.0446925944
98	2	1	0	1.78975	1.180125	0.609625	0.6593798016	0.3406201984	0.0557083125	0.0736006479	0.0715268335	0.0377153576	0.0377153576
98	2	1	1	1.7696016145	1.6530009717	0.1166006428	0.9341091001	0.0658908999	0.0679282934	0.0654686336	0.0301234695	0.0163993957	0.0163993957
98	2	1	2	1.8304636762	0.2245884308	1.6058752454	0.1226948306	0.8773051694	0.0889634532	0.0414636762	0.0896630007	0.0225365484	0.0225365484
98	2	2	0	1.7605	1.33465	0.42585	0.7581084919	0.2418915081	0.0695700542	0.0927824573	0.0872307648	0.0475655791	0.0475655791
98	2	2	1	1.8372142252	1.7384984476	0.0987157776	0.9462687714	0.0537312286	0.0796122289	0.0753870781	0.02642316	0.0142945626	0.0142945626
98	2	2	2	1.5739533288	0.3526080988	1.2213452299	0.2240270359	0.7759729641	0.1119702322	0.076009183	0.1066287275	0.0426863124	0.0426863124
