Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.2314	3.02905	2.20235	0.579013266	0.420986734	0.0557432267	0.101482545	0.0986623021	0.0183421985	0.0183421985
74	1	1	1	5.2857945703	4.1621563202	1.12363825	0.7874230194	0.2125769806	0.0707075914	0.081154488	0.0706793278	0.0127126262	0.0127126262
74	1	1	2	5.1568057861	1.4751600664	3.6816457197	0.2860608151	0.7139391849	0.0717740645	0.0869400051	0.085033366	0.0154594604	0.0154594604
74	1	2	0	5.15165	3.128025	2.023625	0.6071889589	0.3928110411	0.0729984099	0.1158294705	0.1238600261	0.0225506787	0.0225506787
74	1	2	1	5.2132188534	4.3751453358	0.8380735176	0.8392406801	0.1607593199	0.0814230164	0.0890389766	0.0819883238	0.0149592283	0.0149592283
74	1	2	2	5.0735911101	1.5468874022	3.5267037079	0.3048900411	0.6951099589	0.1033733939	0.10526515	0.1240429707	0.0199216709	0.0199216709
74	2	1	0	5.3587	2.842025	2.516675	0.5303571762	0.4696428238	0.0534132289	0.1092732323	0.1090782808	0.0197455001	0.0197455001
74	2	1	1	5.3931166348	4.1532982792	1.2398183556	0.7701109693	0.2298890307	0.0596449065	0.084926491	0.0744032889	0.0135034535	0.0135034535
74	2	1	2	5.3209643606	1.4042976939	3.9166666667	0.2639178913	0.7360821087	0.0757361292	0.0944214536	0.103788591	0.0170599166	0.0170599166
74	2	2	0	5.521	3.48885	2.03215	0.6319235646	0.3680764354	0.0466576268	0.1393110133	0.1320010316	0.0240683747	0.0240683747
74	2	2	1	5.6060052934	4.7333211646	0.8726841289	0.8443304843	0.1556695157	0.0557901839	0.1062765857	0.0899069341	0.016156024	0.016156024
74	2	2	2	5.4180028752	1.9809797634	3.4370231118	0.3656291458	0.6343708542	0.0749288007	0.1191624199	0.1167974409	0.0207204463	0.0207204463
