Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
92	1	1	0	3.5774	2.23745	1.33995	0.6254402639	0.3745597361	0.1278694578	0.1498669528	0.1747510586	0.0435130521	0.0435130521
92	1	1	1	3.6003538512	3.1577106649	0.4426431863	0.8770556438	0.1229443562	0.1234592356	0.1100235512	0.0914598733	0.0238293941	0.0238293941
92	1	1	2	3.5418577982	0.8125	2.7293577982	0.2293993848	0.7706006152	0.1831792977	0.1278420163	0.180292684	0.0339447687	0.0339447687
92	1	2	0	3.304975	2.114925	1.19005	0.6399216333	0.3600783667	0.0707750097	0.0762891014	0.0668367788	0.018881107	0.018881107
92	1	2	1	3.3849348029	2.9415166097	0.4434181931	0.869002442	0.130997558	0.0800266824	0.0683379599	0.044004738	0.0118636996	0.0118636996
92	1	2	2	3.1602023609	0.6183249016	2.5418774592	0.1956599075	0.8043400925	0.0941974186	0.0622384534	0.084150302	0.0178930133	0.0178930133
92	2	1	0	3.526675	2.4718	1.054875	0.7008868126	0.2991131874	0.1481890785	0.217677572	0.1845067182	0.0530518212	0.0530518212
92	2	1	1	3.6424003322	3.3337624585	0.3086378738	0.9152652521	0.0847347479	0.1713553981	0.1805599891	0.0882847834	0.0245708875	0.0245708875
92	2	1	2	3.3516331658	1.1680276382	2.1836055276	0.348495071	0.651504929	0.215473947	0.1711505334	0.1942068455	0.044384618	0.044384618
92	2	2	0	3.241075	2.238125	1.00295	0.6905502033	0.3094497967	0.0840460479	0.1197298623	0.0963026992	0.0305525614	0.0305525614
92	2	2	1	3.3634728197	3.0468517794	0.3166210403	0.9058648435	0.0941351565	0.0911934135	0.0920472941	0.0450888519	0.0135492856	0.0135492856
92	2	2	2	3.0241857242	0.8050589051	2.2191268191	0.2662068333	0.7337931667	0.1358133202	0.0961905621	0.1228529089	0.0281263229	0.0281263229
