Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.3364	3.00115	2.33525	0.5623922495	0.4376077505	0.0552671783	0.0987030787	0.1074607333	0.0187812568	0.0187812568
74	1	1	1	5.3522636662	4.2101532737	1.1421103925	0.7866117098	0.2133882902	0.0705962603	0.0814524007	0.0783428235	0.0137233864	0.0137233864
74	1	1	2	5.3158498795	1.4349822105	3.880867669	0.269944081	0.730055919	0.0725944482	0.0966021763	0.1100349408	0.0178103016	0.0178103016
74	1	2	0	5.27655	2.778425	2.498125	0.5265609157	0.4734390843	0.0637013336	0.1284296469	0.1189700784	0.0226178288	0.0226178288
74	1	2	1	5.3433746425	4.0376549094	1.3057197331	0.7556376222	0.2443623778	0.0713734531	0.1029039354	0.0799495954	0.0150797402	0.0150797402
74	1	2	2	5.2028391167	1.3894321767	3.8134069401	0.267052689	0.732947311	0.086194085	0.1055199021	0.1042419063	0.0188123123	0.0188123123
74	2	1	0	5.359925	3.472975	1.88695	0.6479521635	0.3520478365	0.0592894633	0.1313624371	0.1275575666	0.0235377339	0.0235377339
74	2	1	1	5.4133954217	4.6252937592	0.7881016625	0.8544163873	0.1455836127	0.0719147223	0.0943207062	0.0744628165	0.0136188061	0.0136188061
74	2	1	2	5.2877452708	1.917459758	3.3702855129	0.3626233224	0.6373766776	0.0869908075	0.1257752522	0.1287967195	0.0226521975	0.0226521975
74	2	2	0	5.311875	2.9664	2.345475	0.5584468761	0.4415531239	0.0757112115	0.1607813892	0.158374176	0.0291593969	0.0291593969
74	2	2	1	5.4322942276	4.3704887403	1.0618054873	0.8045382958	0.1954617042	0.0785317107	0.138338285	0.1200574645	0.0222124072	0.0222124072
74	2	2	2	5.1873156342	1.5140372292	3.673278405	0.2918729717	0.7081270283	0.1056559728	0.1173462188	0.1297150245	0.0214035746	0.0214035746
