Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
86	1	1	0	4.000535	2.433405	1.56713	0.6082698939	0.3917301061	0.1027468159	0.1475433381	0.1390800931	0.0334754394	0.0334754394
86	1	1	1	4.0426106552	3.4566496362	0.5859610191	0.8550538083	0.1449461917	0.1254769737	0.1315059538	0.0782091775	0.0190422463	0.0190422463
86	1	1	2	3.9421170795	1.0127301822	2.9293868972	0.2569000772	0.7430999228	0.1283760964	0.0980086315	0.1248834161	0.0225895683	0.0225895683
86	1	2	0	4.07578	2.411265	1.664515	0.591608232	0.408391768	0.0651552258	0.0932291693	0.0851818891	0.0204078191	0.0204078191
86	1	2	1	4.0698347606	3.4715526302	0.5982821304	0.8529959653	0.1470040347	0.0840178294	0.0839693056	0.051045419	0.0121463892	0.0121463892
86	1	2	2	4.0840025737	0.9448323523	3.1391702214	0.2313495977	0.7686504023	0.0822463416	0.0676469784	0.0844151831	0.0154258703	0.0154258703
86	2	1	0	4.49686	3.141925	1.354935	0.6986930881	0.3013069119	0.11245965	0.1934477048	0.1610203568	0.0366073137	0.0366073137
86	2	1	1	4.6071502624	4.135508876	0.4716413864	0.8976283908	0.1023716092	0.1294336598	0.1414201629	0.0820024378	0.0176404291	0.0176404291
86	2	1	2	4.3114896925	1.4719593598	2.8395303327	0.3414038917	0.6585961083	0.1495199032	0.1667339633	0.1740043923	0.0359088471	0.0359088471
86	2	2	0	4.114495	2.76116	1.353335	0.6710811412	0.3289188588	0.0817617202	0.109888519	0.095698527	0.0226348129	0.0226348129
86	2	2	1	4.1901505342	3.7207834251	0.4693671091	0.8879832347	0.1120167653	0.0955971853	0.0999374637	0.0557191711	0.013047494	0.013047494
86	2	2	2	3.9922030351	1.2099947671	2.7822082679	0.3030894863	0.6969105137	0.1102165041	0.0939375304	0.1078892927	0.0211125165	0.0211125165
