Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.806925	2.738525	2.0684	0.5697041248	0.4302958752	0.0973022024	0.1489124455	0.1519243897	0.0297154882	0.0297154882
80	1	1	1	4.7092376851	3.7879827737	0.9212549114	0.8043728151	0.1956271849	0.125617458	0.129992907	0.0974939414	0.019689527	0.019689527
80	1	1	2	4.9434043675	1.2723230338	3.6710813337	0.2573778998	0.7426221002	0.099755345	0.1120032614	0.1289750707	0.0217523028	0.0217523028
80	1	2	0	4.719275	2.78463	1.934645	0.5900546164	0.4099453836	0.0718775837	0.1152651907	0.1021112041	0.0215394007	0.0215394007
80	1	2	1	4.7586360383	3.8626263332	0.8960097052	0.8117087128	0.1882912872	0.084600531	0.0946423196	0.0665949941	0.0136383356	0.0136383356
80	1	2	2	4.6664793613	1.3386949498	3.3277844115	0.2868747178	0.7131252822	0.0908224671	0.0941316711	0.0978957251	0.0183639341	0.0183639341
80	2	1	0	4.84732	3.45734	1.38998	0.7132477328	0.2867522672	0.0982318921	0.1642943331	0.1338462891	0.0281419411	0.0281419411
80	2	1	1	4.9117921095	4.2869413306	0.6248507789	0.8727855811	0.1272144189	0.1078209925	0.1333572497	0.0747879913	0.0156466661	0.0156466661
80	2	1	2	4.7058767167	1.6373043756	3.0685723411	0.3479275965	0.6520724035	0.1494234471	0.1712233757	0.1616012782	0.0321878066	0.0321878066
80	2	2	0	4.84236	3.18551	1.65685	0.657842457	0.342157543	0.0943463405	0.1484989838	0.1263172843	0.0262470476	0.0262470476
80	2	2	1	4.9064083701	4.1852460356	0.7211623345	0.8530162432	0.1469837568	0.1155355825	0.1321841834	0.0836221646	0.0169400731	0.0169400731
80	2	2	2	4.7414627865	1.6105974762	3.1308653103	0.3396836691	0.6603163309	0.1135194462	0.1271152142	0.1332436602	0.0246650017	0.0246650017
