Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.229015	3.0289	2.200115	0.579248673	0.420751327	0.0563448496	0.1058649803	0.0995132935	0.0188128699	0.0188128699
74	1	1	1	5.2798534483	4.1543965517	1.1254568966	0.7868393683	0.2131606317	0.0635870326	0.0845889104	0.0717118392	0.0132642377	0.0132642377
74	1	1	2	5.1588095238	1.4746428571	3.6841666667	0.2858494485	0.7141505515	0.0744414253	0.0895511097	0.0905108668	0.0160460966	0.0160460966
74	1	2	0	5.14438	3.12663	2.01775	0.6077758641	0.3922241359	0.0719526041	0.124942616	0.122200403	0.0229933746	0.0229933746
74	1	2	1	5.2023953803	4.3663916019	0.8360037784	0.8393040672	0.1606959328	0.0811755322	0.0980458061	0.0783633829	0.0146520841	0.0146520841
74	1	2	2	5.0702178073	1.5418185546	3.5283992527	0.3040931599	0.6959068401	0.1044573458	0.1106200755	0.1174083369	0.0200684886	0.0200684886
74	2	1	0	5.359595	2.843515	2.51608	0.5305466178	0.4694533822	0.0511826889	0.1114177868	0.1088121873	0.0199234437	0.0199234437
74	2	1	1	5.3883742695	4.149709691	1.2386645785	0.7701227649	0.2298772351	0.0600848754	0.0857506265	0.0734458552	0.013409647	0.013409647
74	2	1	2	5.3279669199	1.4080223332	3.9199445867	0.2642700967	0.7357299033	0.06958137	0.0871089312	0.0990629334	0.0158796915	0.0158796915
74	2	2	0	5.524425	3.482125	2.0423	0.6303144671	0.3696855329	0.0498557084	0.1374200598	0.1375221839	0.0245601991	0.0245601991
74	2	2	1	5.6075591502	4.7350729199	0.8724862303	0.8444089118	0.1555910882	0.0559855311	0.1054283785	0.0921352114	0.0164866599	0.0164866599
74	2	2	2	5.4242464334	1.9722938855	3.4519525479	0.3636069839	0.6363930161	0.07653346	0.1201159822	0.1299727002	0.0218064996	0.0218064996
