Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
98	1	1	0	1.8806	1.31675	0.56385	0.7001754759	0.2998245241	0.0917686156	0.1191030305	0.1301149515	0.0627226472	0.0627226472
98	1	1	1	1.8174787846	1.70428415	0.1131946345	0.9377188688	0.0622811312	0.1030761691	0.0973434722	0.0519868709	0.0260583547	0.0260583547
98	1	1	2	2.0517817372	0.2657757981	1.7860059391	0.1295341474	0.8704658526	0.1723850472	0.0996311534	0.1686926018	0.0489310358	0.0489310358
98	1	2	0	1.8192	1.1608	0.6584	0.6380826737	0.3619173263	0.0553708648	0.0808304107	0.0841100168	0.0431912764	0.0431912764
98	1	2	1	1.8055728035	1.6834833903	0.1220894132	0.932381894	0.067618106	0.0660040904	0.0615430941	0.0298529037	0.0157341471	0.0157341471
98	1	2	2	1.8438729623	0.2144463182	1.6294266442	0.1163021111	0.8836978889	0.0871313633	0.0446026768	0.0907874875	0.0241037672	0.0241037672
98	2	1	0	1.80285	1.374325	0.428525	0.762306903	0.237693097	0.1444848743	0.1941594898	0.1446003318	0.0810259822	0.0810259822
98	2	1	1	1.8630208697	1.8032037412	0.0598171285	0.9678924002	0.0321075998	0.1588878319	0.1622400366	0.0299910315	0.0170899111	0.0170899111
98	2	1	2	1.6508901816	0.2912039485	1.359686233	0.1763920773	0.8236079227	0.2282621052	0.1110781824	0.2108053748	0.0638791425	0.0638791425
98	2	2	0	1.76025	1.313725	0.446525	0.7463286465	0.2536713535	0.0682773258	0.0924967707	0.0847574269	0.0463340486	0.0463340486
98	2	2	1	1.8046464363	1.7035881982	0.1010582381	0.9440010874	0.0559989126	0.0770531597	0.0736826706	0.0271082034	0.014862964	0.014862964
98	2	2	2	1.6497120921	0.3430465887	1.3066655034	0.2079433074	0.7920566926	0.1102632467	0.078363615	0.1063583017	0.0420563341	0.0420563341
