Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.33548	3.00168	2.3338	0.5625885581	0.4374114419	0.0566415907	0.1173239948	0.1135573385	0.0208854395	0.0208854395
74	1	1	1	5.3445708431	4.2046245429	1.1399463002	0.7867094789	0.2132905211	0.0687350107	0.0925540257	0.076005375	0.0139215016	0.0139215016
74	1	1	2	5.3236188896	1.4321602249	3.8914586646	0.269020051	0.730979949	0.0700589051	0.0998125808	0.1078023703	0.0181462296	0.0181462296
74	1	2	0	5.279125	2.778505	2.50062	0.526319229	0.473680771	0.0609220762	0.1174897196	0.1126109049	0.0210225211	0.0210225211
74	1	2	1	5.3445091213	4.0343358253	1.310173296	0.7548561961	0.2451438039	0.0689488345	0.0978402539	0.0850196389	0.0156104905	0.0156104905
74	1	2	2	5.2066580928	1.3866353229	3.8200227699	0.2663196427	0.7336803573	0.081193065	0.0988041947	0.1015421987	0.0178305748	0.0178305748
74	2	1	0	5.359515	3.46873	1.890785	0.6472096822	0.3527903178	0.0567638792	0.1378779004	0.1307019706	0.0243677904	0.0243677904
74	2	1	1	5.4105346514	4.6212363814	0.78929827	0.8541182488	0.1458817512	0.0683420079	0.0956864807	0.0751028388	0.0138020138	0.0138020138
74	2	1	2	5.2906069296	1.9121338912	3.3784730384	0.3614205169	0.6385794831	0.0838373751	0.1300964424	0.129508305	0.0233787873	0.0233787873
74	2	2	0	5.309115	2.96086	2.348255	0.5576937022	0.4423062978	0.0773527977	0.154671876	0.1624112489	0.0290184887	0.0290184887
74	2	2	1	5.4317019435	4.3648497128	1.0668522307	0.8035878548	0.1964121452	0.0844473543	0.138718973	0.1177431233	0.0216955097	0.0216955097
74	2	2	2	5.1823590432	1.5091225287	3.6732365145	0.2912037773	0.7087962227	0.1115914294	0.1177172561	0.1414597784	0.0219418199	0.0219418199
